,id,imdb_id,title,poster_path,vote_average,vote_count
0,862,tt0114709,Toy Story,/rhIRbceoE9lR4veEXuwCC2wARtG.jpg,7.7,5415.0
1,8844,tt0113497,Jumanji,/vzmL6fP7aPKNKPRTFnZmiUfciyV.jpg,6.9,2413.0
5,949,tt0113277,Heat,/zMyfPUelumio3tiDKPffaUpsQTD.jpg,7.7,1886.0
9,710,tt0113189,GoldenEye,/5c0ovjT41KnYIHYuF4AWsTe3sKh.jpg,6.6,1194.0
8,9091,tt0114576,Sudden Death,/eoWvKD60lT95Ss1MYNgVExpo5iU.jpg,5.5,174.0
4,11862,tt0113041,Father of the Bride Part II,/e64sOI48hQXyru7naBFyssKFxVd.jpg,5.7,173.0
6,11860,tt0114319,Sabrina,/jQh15y5YB7bWz1NtffNZmRw0s9D.jpg,6.2,141.0
2,15602,tt0113228,Grumpier Old Men,/6ksm1sjKMFLbO7UY2i6G1ju9SML.jpg,6.5,92.0
7,45325,tt0112302,Tom and Huck,/sGO5Qa55p7wTu7FJcX4H4xIVKvS.jpg,5.4,45.0
3,31357,tt0114885,Waiting to Exhale,/16XOMpEaLWkrcPqSQqhTmeJuqQl.jpg,6.1,34.0
